LABEL;METRIC;STATISTIC;VALUE
Amygdala;ACURCY;MEAN;0.9992221815319351
Amygdala;ACURCY;STD;5.122160133357756e-05
Amygdala;DICE;MEAN;0.46849124596748715
Amygdala;DICE;STD;0.039899487664129596
Amygdala;HDRFDST;MEAN;10.637112572574237
Amygdala;HDRFDST;STD;1.1626848749265901
GreyMatter;ACURCY;MEAN;0.9187465916121067
GreyMatter;ACURCY;STD;0.0019043350645472931
GreyMatter;DICE;MEAN;0.5061955445122494
GreyMatter;DICE;STD;0.01475962577037391
GreyMatter;HDRFDST;MEAN;4.065073652957468
GreyMatter;HDRFDST;STD;0.4185405548223815
Hippocampus;ACURCY;MEAN;0.9979132222569185
Hippocampus;ACURCY;STD;7.455131865012213e-05
Hippocampus;DICE;MEAN;0.48027041203886134
Hippocampus;DICE;STD;0.02536887212098406
Hippocampus;HDRFDST;MEAN;9.86026712150144
Hippocampus;HDRFDST;STD;0.9354850574101679
Thalamus;ACURCY;MEAN;0.9985893265342515
Thalamus;ACURCY;STD;8.591893424924105e-05
Thalamus;DICE;MEAN;0.73638354599232
Thalamus;DICE;STD;0.020034046805210367
Thalamus;HDRFDST;MEAN;4.464281184557466
Thalamus;HDRFDST;STD;0.5198014093922646
WhiteMatter;ACURCY;MEAN;0.9473865596869453
WhiteMatter;ACURCY;STD;0.00178307947912986
WhiteMatter;DICE;MEAN;0.6296411356483395
WhiteMatter;DICE;STD;0.021191234998487164
WhiteMatter;HDRFDST;MEAN;4.057020292514993
WhiteMatter;HDRFDST;STD;0.3749484579533039
