LABEL;METRIC;STATISTIC;VALUE
Amygdala;ACURCY;MEAN;0.9994119965340638
Amygdala;ACURCY;STD;5.679927543346106e-05
Amygdala;DICE;MEAN;0.5402155676486065
Amygdala;DICE;STD;0.04446340126014916
Amygdala;HDRFDST;MEAN;12.109674863300638
Amygdala;HDRFDST;STD;1.2473069811175792
GreyMatter;ACURCY;MEAN;0.9553194596744845
GreyMatter;ACURCY;STD;0.0014458036983049723
GreyMatter;DICE;MEAN;0.7172034426050968
GreyMatter;DICE;STD;0.008327834188672582
GreyMatter;HDRFDST;MEAN;2.3792107290450506
GreyMatter;HDRFDST;STD;0.37330457644786363
Hippocampus;ACURCY;MEAN;0.9984411931406549
Hippocampus;ACURCY;STD;0.00012828796468011038
Hippocampus;DICE;MEAN;0.5588944463728388
Hippocampus;DICE;STD;0.018246494872878497
Hippocampus;HDRFDST;MEAN;11.63479943882054
Hippocampus;HDRFDST;STD;0.9651124382274185
Thalamus;ACURCY;MEAN;0.9986822225749481
Thalamus;ACURCY;STD;0.00018004360534210198
Thalamus;DICE;MEAN;0.7504753195223501
Thalamus;DICE;STD;0.02570438481525969
Thalamus;HDRFDST;MEAN;14.725346542698645
Thalamus;HDRFDST;STD;0.8741677169932011
WhiteMatter;ACURCY;MEAN;0.9779577141464681
WhiteMatter;ACURCY;STD;0.0018020517026658862
WhiteMatter;DICE;MEAN;0.8271896505373919
WhiteMatter;DICE;STD;0.018581714718847942
WhiteMatter;HDRFDST;MEAN;2.657847994727514
WhiteMatter;HDRFDST;STD;0.36857026049714586
