LABEL;METRIC;STATISTIC;VALUE
Amygdala;ACURCY;MEAN;0.9993527938953963
Amygdala;ACURCY;STD;4.401352854173887e-05
Amygdala;DICE;MEAN;0.44939754610432214
Amygdala;DICE;STD;0.03434976569819547
Amygdala;HDRFDST;MEAN;11.305096665056762
Amygdala;HDRFDST;STD;1.181012020989823
GreyMatter;ACURCY;MEAN;0.9365132504519444
GreyMatter;ACURCY;STD;0.0033447155867006202
GreyMatter;DICE;MEAN;0.569340215967092
GreyMatter;DICE;STD;0.021409678146575326
GreyMatter;HDRFDST;MEAN;3.9963058362176485
GreyMatter;HDRFDST;STD;0.4791029778792512
Hippocampus;ACURCY;MEAN;0.9979478493454224
Hippocampus;ACURCY;STD;0.0001373413873828483
Hippocampus;DICE;MEAN;0.44576854019244416
Hippocampus;DICE;STD;0.022003787408240126
Hippocampus;HDRFDST;MEAN;12.690084397931734
Hippocampus;HDRFDST;STD;0.8134850787627126
Thalamus;ACURCY;MEAN;0.9984801659057121
Thalamus;ACURCY;STD;0.00015752210018200129
Thalamus;DICE;MEAN;0.7024952544758853
Thalamus;DICE;STD;0.024209004008157873
Thalamus;HDRFDST;MEAN;13.11425346425165
Thalamus;HDRFDST;STD;0.8463782105912501
WhiteMatter;ACURCY;MEAN;0.9584369120152655
WhiteMatter;ACURCY;STD;0.003593140566246409
WhiteMatter;DICE;MEAN;0.6752586392788872
WhiteMatter;DICE;STD;0.030501239426798634
WhiteMatter;HDRFDST;MEAN;4.6355881502654395
WhiteMatter;HDRFDST;STD;0.33365026767356726
