LABEL;METRIC;STATISTIC;VALUE
Amygdala;ACURCY;MEAN;0.9992718628739631
Amygdala;ACURCY;STD;5.6075234897614835e-05
Amygdala;DICE;MEAN;0.45338996895111167
Amygdala;DICE;STD;0.03987714318207207
Amygdala;HDRFDST;MEAN;11.562573578895925
Amygdala;HDRFDST;STD;1.2275553888187218
GreyMatter;ACURCY;MEAN;0.9388236518691192
GreyMatter;ACURCY;STD;0.006507605912842766
GreyMatter;DICE;MEAN;0.6175716451652051
GreyMatter;DICE;STD;0.025259964006850866
GreyMatter;HDRFDST;MEAN;4.328849954138949
GreyMatter;HDRFDST;STD;0.7490380995324739
Hippocampus;ACURCY;MEAN;0.9976831204124726
Hippocampus;ACURCY;STD;0.00034789581358718436
Hippocampus;DICE;MEAN;0.43290869665504444
Hippocampus;DICE;STD;0.035606261572217336
Hippocampus;HDRFDST;MEAN;12.929496184041232
Hippocampus;HDRFDST;STD;0.96339422193783
Thalamus;ACURCY;MEAN;0.9983812643013967
Thalamus;ACURCY;STD;0.00020959782420044938
Thalamus;DICE;MEAN;0.6918945581458182
Thalamus;DICE;STD;0.03301516869075944
Thalamus;HDRFDST;MEAN;13.942116836280581
Thalamus;HDRFDST;STD;0.8469817728272205
WhiteMatter;ACURCY;MEAN;0.9669354069933579
WhiteMatter;ACURCY;STD;0.004907314890760881
WhiteMatter;DICE;MEAN;0.7102609253218484
WhiteMatter;DICE;STD;0.06103656344779775
WhiteMatter;HDRFDST;MEAN;5.148805578312727
WhiteMatter;HDRFDST;STD;0.2996683445673773
