LABEL;METRIC;STATISTIC;VALUE
Amygdala;ACURCY;MEAN;0.9992845886747981
Amygdala;ACURCY;STD;7.068217072704609e-05
Amygdala;DICE;MEAN;0.4919533294156821
Amygdala;DICE;STD;0.04433230310922193
Amygdala;HDRFDST;MEAN;11.497858335019368
Amygdala;HDRFDST;STD;1.1829005485777904
GreyMatter;ACURCY;MEAN;0.931054723364259
GreyMatter;ACURCY;STD;0.0021971729704626506
GreyMatter;DICE;MEAN;0.5723816957171647
GreyMatter;DICE;STD;0.008763054889920331
GreyMatter;HDRFDST;MEAN;2.188854381999832
GreyMatter;HDRFDST;STD;0.09442719099991592
Hippocampus;ACURCY;MEAN;0.9976688154135269
Hippocampus;ACURCY;STD;5.7141855407241806e-05
Hippocampus;DICE;MEAN;0.454004240541282
Hippocampus;DICE;STD;0.020247827754864573
Hippocampus;HDRFDST;MEAN;11.327514038734092
Hippocampus;HDRFDST;STD;0.8873701044558859
Thalamus;ACURCY;MEAN;0.9985127296623778
Thalamus;ACURCY;STD;7.0098380900344e-05
Thalamus;DICE;MEAN;0.7249047763201102
Thalamus;DICE;STD;0.017517464336049515
Thalamus;HDRFDST;MEAN;7.49562428096784
Thalamus;HDRFDST;STD;0.7846124129564626
WhiteMatter;ACURCY;MEAN;0.9547120793324579
WhiteMatter;ACURCY;STD;0.0019328093956051467
WhiteMatter;DICE;MEAN;0.6668549449719994
WhiteMatter;DICE;STD;0.02220541378675749
WhiteMatter;HDRFDST;MEAN;3.9076734687021135
WhiteMatter;HDRFDST;STD;0.17345910757752891
