LABEL;METRIC;STATISTIC;VALUE
Amygdala;ACURCY;MEAN;0.9993080345795973
Amygdala;ACURCY;STD;7.322189080761221e-05
Amygdala;DICE;MEAN;0.4905110766144537
Amygdala;DICE;STD;0.04757708014593192
Amygdala;HDRFDST;MEAN;11.592588140529767
Amygdala;HDRFDST;STD;1.1882340695539015
GreyMatter;ACURCY;MEAN;0.9252890249535202
GreyMatter;ACURCY;STD;0.0013839518256599376
GreyMatter;DICE;MEAN;0.5510064717344058
GreyMatter;DICE;STD;0.010951706483255486
GreyMatter;HDRFDST;MEAN;2.9191508225450304
GreyMatter;HDRFDST;STD;0.2802828486273719
Hippocampus;ACURCY;MEAN;0.9976329779907045
Hippocampus;ACURCY;STD;5.6914130948833277e-05
Hippocampus;DICE;MEAN;0.45087517445535585
Hippocampus;DICE;STD;0.02035115272688622
Hippocampus;HDRFDST;MEAN;10.985157050520034
Hippocampus;HDRFDST;STD;0.852246780815272
Thalamus;ACURCY;MEAN;0.9983524468176219
Thalamus;ACURCY;STD;7.55709378030359e-05
Thalamus;DICE;MEAN;0.702605023876864
Thalamus;DICE;STD;0.017093940857275138
Thalamus;HDRFDST;MEAN;9.050193532397868
Thalamus;HDRFDST;STD;1.4120895956502852
WhiteMatter;ACURCY;MEAN;0.9521924860370646
WhiteMatter;ACURCY;STD;0.0012943572955614606
WhiteMatter;DICE;MEAN;0.616029207729093
WhiteMatter;DICE;STD;0.01981497772282294
WhiteMatter;HDRFDST;MEAN;3.869528644817742
WhiteMatter;HDRFDST;STD;0.1635483626789723
