LABEL;METRIC;STATISTIC;VALUE
Amygdala;ACURCY;MEAN;0.9992667103078642
Amygdala;ACURCY;STD;8.367497308946983e-05
Amygdala;DICE;MEAN;0.48625064766875764
Amygdala;DICE;STD;0.04609222474211941
Amygdala;HDRFDST;MEAN;13.44846014635053
Amygdala;HDRFDST;STD;1.3560677313546956
GreyMatter;ACURCY;MEAN;0.9404296156589135
GreyMatter;ACURCY;STD;0.0018742721037255583
GreyMatter;DICE;MEAN;0.6340129622938357
GreyMatter;DICE;STD;0.011827606517907251
GreyMatter;HDRFDST;MEAN;2.3758819834774085
GreyMatter;HDRFDST;STD;0.23491445376446007
Hippocampus;ACURCY;MEAN;0.9983196294670991
Hippocampus;ACURCY;STD;0.00013450460503801052
Hippocampus;DICE;MEAN;0.5390446626385633
Hippocampus;DICE;STD;0.0184754549199943
Hippocampus;HDRFDST;MEAN;13.781786227916218
Hippocampus;HDRFDST;STD;0.9286379100698564
Thalamus;ACURCY;MEAN;0.9986493591164514
Thalamus;ACURCY;STD;0.00018232518448615912
Thalamus;DICE;MEAN;0.7453253642346798
Thalamus;DICE;STD;0.024500488745266488
Thalamus;HDRFDST;MEAN;13.068453605659911
Thalamus;HDRFDST;STD;2.283751378043243
WhiteMatter;ACURCY;MEAN;0.9667186534073966
WhiteMatter;ACURCY;STD;0.0014501353752568405
WhiteMatter;DICE;MEAN;0.7514484314289247
WhiteMatter;DICE;STD;0.01769966792446358
WhiteMatter;HDRFDST;MEAN;3.126755938599829
WhiteMatter;HDRFDST;STD;0.1529617613349848
