LABEL;METRIC;STATISTIC;VALUE
Amygdala;ACURCY;MEAN;0.9992630101429475
Amygdala;ACURCY;STD;6.347912709490336e-05
Amygdala;DICE;MEAN;0.4621492223790735
Amygdala;DICE;STD;0.03419185160075003
Amygdala;HDRFDST;MEAN;14.293558274641844
Amygdala;HDRFDST;STD;1.3016112512642326
GreyMatter;ACURCY;MEAN;0.9236510737567359
GreyMatter;ACURCY;STD;0.002373808244124045
GreyMatter;DICE;MEAN;0.5338281693086939
GreyMatter;DICE;STD;0.00855542437503184
GreyMatter;HDRFDST;MEAN;3.1435342666467263
GreyMatter;HDRFDST;STD;0.13487888796185601
Hippocampus;ACURCY;MEAN;0.9975915845570101
Hippocampus;ACURCY;STD;4.950937108471919e-05
Hippocampus;DICE;MEAN;0.44739827806276455
Hippocampus;DICE;STD;0.01941273166093009
Hippocampus;HDRFDST;MEAN;12.046251591834942
Hippocampus;HDRFDST;STD;0.6984429727716853
Thalamus;ACURCY;MEAN;0.9983592707977799
Thalamus;ACURCY;STD;6.498756604142363e-05
Thalamus;DICE;MEAN;0.6957438163074757
Thalamus;DICE;STD;0.016116229830318043
Thalamus;HDRFDST;MEAN;7.275917198143962
Thalamus;HDRFDST;STD;0.5109098998384325
WhiteMatter;ACURCY;MEAN;0.9523946925572163
WhiteMatter;ACURCY;STD;0.0017072483497792036
WhiteMatter;DICE;MEAN;0.5838324032589834
WhiteMatter;DICE;STD;0.016713317247003742
WhiteMatter;HDRFDST;MEAN;4.146327900998359
WhiteMatter;HDRFDST;STD;0.08924649798478725
