LABEL;METRIC;STATISTIC;VALUE
Amygdala;ACURCY;MEAN;0.9993144781689696
Amygdala;ACURCY;STD;6.777963242570808e-05
Amygdala;DICE;MEAN;0.4902695196312938
Amygdala;DICE;STD;0.040965253573994415
Amygdala;HDRFDST;MEAN;19.378719081647397
Amygdala;HDRFDST;STD;4.094538649786448
GreyMatter;ACURCY;MEAN;0.9356621087781629
GreyMatter;ACURCY;STD;0.0024156996804506753
GreyMatter;DICE;MEAN;0.6146040214286508
GreyMatter;DICE;STD;0.013853698351046948
GreyMatter;HDRFDST;MEAN;3.335662802460697
GreyMatter;HDRFDST;STD;0.9865868782221097
Hippocampus;ACURCY;MEAN;0.9978884046398916
Hippocampus;ACURCY;STD;0.00022735679677307223
Hippocampus;DICE;MEAN;0.4837253537616493
Hippocampus;DICE;STD;0.022565774849606694
Hippocampus;HDRFDST;MEAN;14.643395971686783
Hippocampus;HDRFDST;STD;0.7556152568518945
Thalamus;ACURCY;MEAN;0.9984281330570083
Thalamus;ACURCY;STD;0.00022345778547238704
Thalamus;DICE;MEAN;0.7127231717925527
Thalamus;DICE;STD;0.028852343992560873
Thalamus;HDRFDST;MEAN;38.16455482447624
Thalamus;HDRFDST;STD;4.622418744504556
WhiteMatter;ACURCY;MEAN;0.9637771145145713
WhiteMatter;ACURCY;STD;0.0019667101808321986
WhiteMatter;DICE;MEAN;0.7227916291563024
WhiteMatter;DICE;STD;0.020424808635280872
WhiteMatter;HDRFDST;MEAN;3.837509535506843
WhiteMatter;HDRFDST;STD;0.41655799703528995
