LABEL;METRIC;STATISTIC;VALUE
Amygdala;ACURCY;MEAN;0.9993832482122498
Amygdala;ACURCY;STD;4.333343974891784e-05
Amygdala;DICE;MEAN;0.434700788028645
Amygdala;DICE;STD;0.017639258510943733
Amygdala;HDRFDST;MEAN;21.052292628038508
Amygdala;HDRFDST;STD;2.75698659834166
GreyMatter;ACURCY;MEAN;0.9362060445479108
GreyMatter;ACURCY;STD;0.001788730007674613
GreyMatter;DICE;MEAN;0.5767601001153647
GreyMatter;DICE;STD;0.022517381855342678
GreyMatter;HDRFDST;MEAN;3.1987024087826015
GreyMatter;HDRFDST;STD;0.26134823521191286
Hippocampus;ACURCY;MEAN;0.9974939739759678
Hippocampus;ACURCY;STD;0.00017824520149518197
Hippocampus;DICE;MEAN;0.4168372612121714
Hippocampus;DICE;STD;0.013045983076106802
Hippocampus;HDRFDST;MEAN;18.6810450765787
Hippocampus;HDRFDST;STD;0.9584126704268564
Thalamus;ACURCY;MEAN;0.9972951679189016
Thalamus;ACURCY;STD;0.0002053283316029723
Thalamus;DICE;MEAN;0.5796457011325031
Thalamus;DICE;STD;0.018278292522414464
Thalamus;HDRFDST;MEAN;53.69779785094405
Thalamus;HDRFDST;STD;1.62680851950966
WhiteMatter;ACURCY;MEAN;0.9516959607916231
WhiteMatter;ACURCY;STD;0.003817112009766735
WhiteMatter;DICE;MEAN;0.6193132865880858
WhiteMatter;DICE;STD;0.022710481255058344
WhiteMatter;HDRFDST;MEAN;4.7678183856721565
WhiteMatter;HDRFDST;STD;0.2605913299527689
