LABEL;METRIC;STATISTIC;VALUE
Amygdala;ACURCY;MEAN;0.9993702111825901
Amygdala;ACURCY;STD;6.112348929030702e-05
Amygdala;DICE;MEAN;0.5251560439222255
Amygdala;DICE;STD;0.03934588738130016
Amygdala;HDRFDST;MEAN;22.159620779054332
Amygdala;HDRFDST;STD;4.466677392481296
GreyMatter;ACURCY;MEAN;0.9542726588128649
GreyMatter;ACURCY;STD;0.0015445982865526522
GreyMatter;DICE;MEAN;0.7120757754818878
GreyMatter;DICE;STD;0.010004035421733507
GreyMatter;HDRFDST;MEAN;2.6427947779440224
GreyMatter;HDRFDST;STD;0.5618147040366653
Hippocampus;ACURCY;MEAN;0.9982390788364516
Hippocampus;ACURCY;STD;0.00015400540665403965
Hippocampus;DICE;MEAN;0.5281601331778633
Hippocampus;DICE;STD;0.015444383890940194
Hippocampus;HDRFDST;MEAN;15.358811073738817
Hippocampus;HDRFDST;STD;1.3442181375051796
Thalamus;ACURCY;MEAN;0.9986833406933187
Thalamus;ACURCY;STD;0.0001677888212637714
Thalamus;DICE;MEAN;0.7495829884848747
Thalamus;DICE;STD;0.023319619804993218
Thalamus;HDRFDST;MEAN;15.36021630520015
Thalamus;HDRFDST;STD;1.3651941464361241
WhiteMatter;ACURCY;MEAN;0.9756031989251308
WhiteMatter;ACURCY;STD;0.0026216183554045812
WhiteMatter;DICE;MEAN;0.8114013399995033
WhiteMatter;DICE;STD;0.02273177464852295
WhiteMatter;HDRFDST;MEAN;4.038619278811291
WhiteMatter;HDRFDST;STD;0.2992562794892788
