LABEL;METRIC;STATISTIC;VALUE
Amygdala;ACURCY;MEAN;0.999369508035986
Amygdala;ACURCY;STD;6.069469556001955e-05
Amygdala;DICE;MEAN;0.524622141593199
Amygdala;DICE;STD;0.03954862724979987
Amygdala;HDRFDST;MEAN;22.27139644666475
Amygdala;HDRFDST;STD;4.548065557518799
GreyMatter;ACURCY;MEAN;0.9541491470774057
GreyMatter;ACURCY;STD;0.0015620850064476909
GreyMatter;DICE;MEAN;0.7115007133845782
GreyMatter;DICE;STD;0.010060292561435386
GreyMatter;HDRFDST;MEAN;2.682774005299252
GreyMatter;HDRFDST;STD;0.6346051027927612
Hippocampus;ACURCY;MEAN;0.9982343297151253
Hippocampus;ACURCY;STD;0.000154448740749999
Hippocampus;DICE;MEAN;0.5276308709991884
Hippocampus;DICE;STD;0.015456318645926476
Hippocampus;HDRFDST;MEAN;15.402503176925967
Hippocampus;HDRFDST;STD;1.3277408951996128
Thalamus;ACURCY;MEAN;0.9986817730222013
Thalamus;ACURCY;STD;0.00016696669255302868
Thalamus;DICE;MEAN;0.7492762381777689
Thalamus;DICE;STD;0.023281505552278807
Thalamus;HDRFDST;MEAN;15.438079783645396
Thalamus;HDRFDST;STD;1.2106579177452972
WhiteMatter;ACURCY;MEAN;0.9755450567698667
WhiteMatter;ACURCY;STD;0.0025976366229766706
WhiteMatter;DICE;MEAN;0.8109126595877945
WhiteMatter;DICE;STD;0.022542770724628014
WhiteMatter;HDRFDST;MEAN;4.038262222399688
WhiteMatter;HDRFDST;STD;0.3040365490192506
