LABEL;METRIC;STATISTIC;VALUE
Amygdala;ACURCY;MEAN;0.9994036394637688
Amygdala;ACURCY;STD;5.164464104236782e-05
Amygdala;DICE;MEAN;0.4927371063419236
Amygdala;DICE;STD;0.0343066522279926
Amygdala;HDRFDST;MEAN;19.468335577908668
Amygdala;HDRFDST;STD;3.6171687582880887
GreyMatter;ACURCY;MEAN;0.9477154593927649
GreyMatter;ACURCY;STD;0.0017745345432207656
GreyMatter;DICE;MEAN;0.6326282601500346
GreyMatter;DICE;STD;0.02562810432784124
GreyMatter;HDRFDST;MEAN;3.3465764467065484
GreyMatter;HDRFDST;STD;0.3169007515752712
Hippocampus;ACURCY;MEAN;0.9976963418740287
Hippocampus;ACURCY;STD;0.0001504892019737387
Hippocampus;DICE;MEAN;0.43893182168318223
Hippocampus;DICE;STD;0.011744578690644674
Hippocampus;HDRFDST;MEAN;21.205460376391255
Hippocampus;HDRFDST;STD;1.5583485570630582
Thalamus;ACURCY;MEAN;0.9977437869793156
Thalamus;ACURCY;STD;0.000167640249725167
Thalamus;DICE;MEAN;0.6085832709939435
Thalamus;DICE;STD;0.01824637923450646
Thalamus;HDRFDST;MEAN;45.21650496078952
Thalamus;HDRFDST;STD;1.1259125769331473
WhiteMatter;ACURCY;MEAN;0.9553071834263965
WhiteMatter;ACURCY;STD;0.0050935430006005915
WhiteMatter;DICE;MEAN;0.6284660444250919
WhiteMatter;DICE;STD;0.028623690896848037
WhiteMatter;HDRFDST;MEAN;4.7753467570121195
WhiteMatter;HDRFDST;STD;0.30994088193369645
