LABEL;METRIC;STATISTIC;VALUE
Amygdala;ACURCY;MEAN;0.999432779703362
Amygdala;ACURCY;STD;6.209179161560557e-05
Amygdala;DICE;MEAN;0.5517657367429223
Amygdala;DICE;STD;0.040188681160487585
Amygdala;HDRFDST;MEAN;13.654532377866738
Amygdala;HDRFDST;STD;1.7758788083056023
GreyMatter;ACURCY;MEAN;0.9569254810992464
GreyMatter;ACURCY;STD;0.0015578395701920907
GreyMatter;DICE;MEAN;0.7263189441747298
GreyMatter;DICE;STD;0.007928152372499015
GreyMatter;HDRFDST;MEAN;2.223606797749979
GreyMatter;HDRFDST;STD;0.39442719099991586
Hippocampus;ACURCY;MEAN;0.9985512874556687
Hippocampus;ACURCY;STD;0.00013633625825470037
Hippocampus;DICE;MEAN;0.5767108626712866
Hippocampus;DICE;STD;0.01899305779948195
Hippocampus;HDRFDST;MEAN;13.51224835852866
Hippocampus;HDRFDST;STD;1.0578961657173787
Thalamus;ACURCY;MEAN;0.9986487827667758
Thalamus;ACURCY;STD;0.00019255140571980623
Thalamus;DICE;MEAN;0.7453617372685696
Thalamus;DICE;STD;0.026036309683206287
Thalamus;HDRFDST;MEAN;16.716090753907473
Thalamus;HDRFDST;STD;1.3683237581541212
WhiteMatter;ACURCY;MEAN;0.9775713523780014
WhiteMatter;ACURCY;STD;0.001656324954857515
WhiteMatter;DICE;MEAN;0.8251081487268195
WhiteMatter;DICE;STD;0.017801971947479237
WhiteMatter;HDRFDST;MEAN;2.657847994727514
WhiteMatter;HDRFDST;STD;0.36857026049714586
