LABEL;METRIC;STATISTIC;VALUE
Amygdala;ACURCY;MEAN;0.9993068127182851
Amygdala;ACURCY;STD;5.2434928920434964e-05
Amygdala;DICE;MEAN;0.4422577644750634
Amygdala;DICE;STD;0.04004677901538218
Amygdala;HDRFDST;MEAN;12.881798461309575
Amygdala;HDRFDST;STD;1.0766932721078135
GreyMatter;ACURCY;MEAN;0.9384007380042325
GreyMatter;ACURCY;STD;0.005819166397920199
GreyMatter;DICE;MEAN;0.5682813142837579
GreyMatter;DICE;STD;0.030078329083090008
GreyMatter;HDRFDST;MEAN;4.151266662515374
GreyMatter;HDRFDST;STD;0.8166915554164095
Hippocampus;ACURCY;MEAN;0.997061158423656
Hippocampus;ACURCY;STD;0.000213393182408089
Hippocampus;DICE;MEAN;0.3446592018519634
Hippocampus;DICE;STD;0.01964507926385237
Hippocampus;HDRFDST;MEAN;50.68450092874521
Hippocampus;HDRFDST;STD;2.8427742794717186
Thalamus;ACURCY;MEAN;0.9965145944993878
Thalamus;ACURCY;STD;0.00037535906851397414
Thalamus;DICE;MEAN;0.4753433140557329
Thalamus;DICE;STD;0.024475012359267273
Thalamus;HDRFDST;MEAN;45.8088029528339
Thalamus;HDRFDST;STD;1.5341355964960173
WhiteMatter;ACURCY;MEAN;0.9578421998391061
WhiteMatter;ACURCY;STD;0.004105534059566055
WhiteMatter;DICE;MEAN;0.5823897991064924
WhiteMatter;DICE;STD;0.05694790918223896
WhiteMatter;HDRFDST;MEAN;5.672348567824247
WhiteMatter;HDRFDST;STD;0.35279133365520926
