LABEL;METRIC;STATISTIC;VALUE
Amygdala;ACURCY;MEAN;0.9993501081059086
Amygdala;ACURCY;STD;4.4424889423120996e-05
Amygdala;DICE;MEAN;0.44787911768436084
Amygdala;DICE;STD;0.034756882146604724
Amygdala;HDRFDST;MEAN;11.556585207470137
Amygdala;HDRFDST;STD;1.2431163833215206
GreyMatter;ACURCY;MEAN;0.9359974636003481
GreyMatter;ACURCY;STD;0.0033883629869254053
GreyMatter;DICE;MEAN;0.5686975793289145
GreyMatter;DICE;STD;0.021464527214351912
GreyMatter;HDRFDST;MEAN;4.327810506826597
GreyMatter;HDRFDST;STD;0.5196693342899019
Hippocampus;ACURCY;MEAN;0.9978927272624578
Hippocampus;ACURCY;STD;0.000142157497904814
Hippocampus;DICE;MEAN;0.4370463206021792
Hippocampus;DICE;STD;0.022265800705338068
Hippocampus;HDRFDST;MEAN;13.250693666755467
Hippocampus;HDRFDST;STD;0.7868401043455692
Thalamus;ACURCY;MEAN;0.9984562473941792
Thalamus;ACURCY;STD;0.000158420838063279
Thalamus;DICE;MEAN;0.6967127042674972
Thalamus;DICE;STD;0.02442778701791815
Thalamus;HDRFDST;MEAN;13.91088052435802
Thalamus;HDRFDST;STD;0.8873573333425047
WhiteMatter;ACURCY;MEAN;0.9582293684971187
WhiteMatter;ACURCY;STD;0.0036109410281952737
WhiteMatter;DICE;MEAN;0.6746250433902956
WhiteMatter;DICE;STD;0.030583676056291125
WhiteMatter;HDRFDST;MEAN;4.6355881502654395
WhiteMatter;HDRFDST;STD;0.33365026767356726
