LABEL;METRIC;STATISTIC;VALUE
Amygdala;ACURCY;MEAN;0.999345866172297
Amygdala;ACURCY;STD;5.497515058016294e-05
Amygdala;DICE;MEAN;0.5033752635672218
Amygdala;DICE;STD;0.042371703364138404
Amygdala;HDRFDST;MEAN;12.125110472989183
Amygdala;HDRFDST;STD;1.2172493654991232
GreyMatter;ACURCY;MEAN;0.9491373716771856
GreyMatter;ACURCY;STD;0.0026991367646111517
GreyMatter;DICE;MEAN;0.6816775176279538
GreyMatter;DICE;STD;0.010137175625763408
GreyMatter;HDRFDST;MEAN;3.7801264352218498
GreyMatter;HDRFDST;STD;0.5573545852838651
Hippocampus;ACURCY;MEAN;0.9981142530237321
Hippocampus;ACURCY;STD;0.0001986894212342012
Hippocampus;DICE;MEAN;0.5011851029203692
Hippocampus;DICE;STD;0.023497309225049817
Hippocampus;HDRFDST;MEAN;12.799179029350267
Hippocampus;HDRFDST;STD;0.9904626063816891
Thalamus;ACURCY;MEAN;0.9985280029287784
Thalamus;ACURCY;STD;0.00021520747470011968
Thalamus;DICE;MEAN;0.7238751625078568
Thalamus;DICE;STD;0.03051864162564224
Thalamus;HDRFDST;MEAN;15.276478653081673
Thalamus;HDRFDST;STD;0.7932212566112652
WhiteMatter;ACURCY;MEAN;0.9755459097673864
WhiteMatter;ACURCY;STD;0.0009935205713067104
WhiteMatter;DICE;MEAN;0.8014399587117984
WhiteMatter;DICE;STD;0.012918417089473312
WhiteMatter;HDRFDST;MEAN;4.5082527759772875
WhiteMatter;HDRFDST;STD;0.2750580082329631
