LABEL;METRIC;STATISTIC;VALUE
Amygdala;ACURCY;MEAN;0.9994239615533269
Amygdala;ACURCY;STD;5.495315807963613e-05
Amygdala;DICE;MEAN;0.5449545399054254
Amygdala;DICE;STD;0.043599780733948275
Amygdala;HDRFDST;MEAN;12.572679325246055
Amygdala;HDRFDST;STD;1.2758270198308252
GreyMatter;ACURCY;MEAN;0.9557741534604783
GreyMatter;ACURCY;STD;0.0014577896262399836
GreyMatter;DICE;MEAN;0.718506538421676
GreyMatter;DICE;STD;0.008152753653787226
GreyMatter;HDRFDST;MEAN;2.298612080002874
GreyMatter;HDRFDST;STD;0.34114880281903737
Hippocampus;ACURCY;MEAN;0.9982571992702491
Hippocampus;ACURCY;STD;0.0001363956663833322
Hippocampus;DICE;MEAN;0.5312017394441456
Hippocampus;DICE;STD;0.015538865713412167
Hippocampus;HDRFDST;MEAN;12.380351078635744
Hippocampus;HDRFDST;STD;0.7917746963137813
Thalamus;ACURCY;MEAN;0.998662073390293
Thalamus;ACURCY;STD;0.00015522669454778426
Thalamus;DICE;MEAN;0.7464359075371136
Thalamus;DICE;STD;0.021826314913925872
Thalamus;HDRFDST;MEAN;16.092133023774498
Thalamus;HDRFDST;STD;0.4932086223356833
WhiteMatter;ACURCY;MEAN;0.9766328822013882
WhiteMatter;ACURCY;STD;0.0017155388154462734
WhiteMatter;DICE;MEAN;0.8182904968386975
WhiteMatter;DICE;STD;0.018431133068922436
WhiteMatter;HDRFDST;MEAN;3.0956440215943486
WhiteMatter;HDRFDST;STD;0.1303383733486336
