LABEL;METRIC;STATISTIC;VALUE
Amygdala;ACURCY;MEAN;0.9993523328156559
Amygdala;ACURCY;STD;4.1436745596667104e-05
Amygdala;DICE;MEAN;0.44617088224736434
Amygdala;DICE;STD;0.03193564432847147
Amygdala;HDRFDST;MEAN;12.363813980232832
Amygdala;HDRFDST;STD;1.0658817299302987
GreyMatter;ACURCY;MEAN;0.9375527086186984
GreyMatter;ACURCY;STD;0.002762266925443456
GreyMatter;DICE;MEAN;0.5461511835931262
GreyMatter;DICE;STD;0.025040492131047344
GreyMatter;HDRFDST;MEAN;4.341654998624439
GreyMatter;HDRFDST;STD;0.3873394801971771
Hippocampus;ACURCY;MEAN;0.9976843422737847
Hippocampus;ACURCY;STD;0.00011211936311756724
Hippocampus;DICE;MEAN;0.4179705045912169
Hippocampus;DICE;STD;0.016971510999737833
Hippocampus;HDRFDST;MEAN;13.944622122890312
Hippocampus;HDRFDST;STD;0.7399417881145168
Thalamus;ACURCY;MEAN;0.9980423245842299
Thalamus;ACURCY;STD;0.00016515120046041714
Thalamus;DICE;MEAN;0.6458428715626132
Thalamus;DICE;STD;0.025501239089530867
Thalamus;HDRFDST;MEAN;35.01345807283555
Thalamus;HDRFDST;STD;1.2875378758651004
WhiteMatter;ACURCY;MEAN;0.9550836289142645
WhiteMatter;ACURCY;STD;0.003390627498537345
WhiteMatter;DICE;MEAN;0.644428314691432
WhiteMatter;DICE;STD;0.03072112303374404
WhiteMatter;HDRFDST;MEAN;4.803661223976109
WhiteMatter;HDRFDST;STD;0.35332540988208905
