LABEL;METRIC;STATISTIC;VALUE
Amygdala;ACURCY;MEAN;0.9993949942186363
Amygdala;ACURCY;STD;7.25473331096826e-05
Amygdala;DICE;MEAN;0.5334034485494905
Amygdala;DICE;STD;0.04555776056150227
Amygdala;HDRFDST;MEAN;12.739192409504483
Amygdala;HDRFDST;STD;1.1458519771869982
GreyMatter;ACURCY;MEAN;0.9548132287005078
GreyMatter;ACURCY;STD;0.0015379407029660484
GreyMatter;DICE;MEAN;0.7158763182678455
GreyMatter;DICE;STD;0.007778903787026294
GreyMatter;HDRFDST;MEAN;2.5909464102676214
GreyMatter;HDRFDST;STD;0.5357207286649696
Hippocampus;ACURCY;MEAN;0.998479416651134
Hippocampus;ACURCY;STD;0.00013411789704271412
Hippocampus;DICE;MEAN;0.5646500571414725
Hippocampus;DICE;STD;0.018256494009100233
Hippocampus;HDRFDST;MEAN;12.545747065252423
Hippocampus;HDRFDST;STD;0.8967890357883594
Thalamus;ACURCY;MEAN;0.998597545280624
Thalamus;ACURCY;STD;0.00017289168490914128
Thalamus;DICE;MEAN;0.7377834187844561
Thalamus;DICE;STD;0.022838245645167416
Thalamus;HDRFDST;MEAN;16.635582232758452
Thalamus;HDRFDST;STD;1.0758270200786846
WhiteMatter;ACURCY;MEAN;0.9773801080286779
WhiteMatter;ACURCY;STD;0.0015360806472503408
WhiteMatter;DICE;MEAN;0.8235721056167493
WhiteMatter;DICE;STD;0.017263493940106043
WhiteMatter;HDRFDST;MEAN;2.7578479947275136
WhiteMatter;HDRFDST;STD;0.30704142713554333
