LABEL;METRIC;STATISTIC;VALUE
Amygdala;ACURCY;MEAN;0.999264358801188
Amygdala;ACURCY;STD;6.824432752621498e-05
Amygdala;DICE;MEAN;0.418156845702282
Amygdala;DICE;STD;0.05366392838479823
Amygdala;HDRFDST;MEAN;12.532792178777095
Amygdala;HDRFDST;STD;1.1528747562435895
GreyMatter;ACURCY;MEAN;0.9331774192191176
GreyMatter;ACURCY;STD;0.007077150863954061
GreyMatter;DICE;MEAN;0.526195883719372
GreyMatter;DICE;STD;0.034868864958455675
GreyMatter;HDRFDST;MEAN;4.486440080814946
GreyMatter;HDRFDST;STD;0.9337319750641394
Hippocampus;ACURCY;MEAN;0.9978010646100666
Hippocampus;ACURCY;STD;0.00025476719583291155
Hippocampus;DICE;MEAN;0.3662433081075377
Hippocampus;DICE;STD;0.029839830352048916
Hippocampus;HDRFDST;MEAN;14.92143553056702
Hippocampus;HDRFDST;STD;0.6713878961763279
Thalamus;ACURCY;MEAN;0.9977070504509994
Thalamus;ACURCY;STD;0.00013301739967386256
Thalamus;DICE;MEAN;0.5549727426143445
Thalamus;DICE;STD;0.02156967255446175
Thalamus;HDRFDST;MEAN;44.38345632061301
Thalamus;HDRFDST;STD;1.3815951057515976
WhiteMatter;ACURCY;MEAN;0.9571249787759231
WhiteMatter;ACURCY;STD;0.0038604603265102594
WhiteMatter;DICE;MEAN;0.5719054161301991
WhiteMatter;DICE;STD;0.058815389329291874
WhiteMatter;HDRFDST;MEAN;5.636564655858207
WhiteMatter;HDRFDST;STD;0.35935898531975846
